Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2011-01-09,01:00:00,7446,V particles cm-3,1080,V particles cm-3,40946,V particles cm-3,10011,V particles cm-3
2011-01-09,02:00:00,3980,V particles cm-3,1045,V particles cm-3,32782,V particles cm-3,8649,V particles cm-3
2011-01-09,03:00:00,3626,V particles cm-3,812,V particles cm-3,34669,V particles cm-3,7819,V particles cm-3
2011-01-09,04:00:00,3891,V particles cm-3,717,V particles cm-3,42490,V particles cm-3,9445,V particles cm-3
2011-01-09,05:00:00,3043,V particles cm-3,736,V particles cm-3,30114,V particles cm-3,9817,V particles cm-3
2011-01-09,06:00:00,2704,V particles cm-3,766,V particles cm-3,34298,V particles cm-3,12251,V particles cm-3
2011-01-09,07:00:00,3068,V particles cm-3,689,V particles cm-3,34037,V particles cm-3,11202,V particles cm-3
2011-01-09,08:00:00,5265,V particles cm-3,750,V particles cm-3,44904,V particles cm-3,12676,V particles cm-3
2011-01-09,09:00:00,7360,V particles cm-3,679,V particles cm-3,51240,V particles cm-3,15846,V particles cm-3
2011-01-09,10:00:00,5882,V particles cm-3,561,V particles cm-3,54535,V particles cm-3,18570,V particles cm-3
2011-01-09,11:00:00,5930,V particles cm-3,736,V particles cm-3,65265,V particles cm-3,20970,V particles cm-3
2011-01-09,12:00:00,6116,V particles cm-3,968,V particles cm-3,54833,V particles cm-3,13177,V particles cm-3
2011-01-09,13:00:00,7651,V particles cm-3,1270,V particles cm-3,38487,V particles cm-3,9851,V particles cm-3
2011-01-09,14:00:00,6441,V particles cm-3,1640,V particles cm-3,38100,V particles cm-3,9791,V particles cm-3
2011-01-09,15:00:00,7647,V particles cm-3,1694,V particles cm-3,37778,V particles cm-3,8726,V particles cm-3
2011-01-09,16:00:00,8010,V particles cm-3,1319,V particles cm-3,35776,V particles cm-3,9898,V particles cm-3
2011-01-09,17:00:00,8396,V particles cm-3,1843,V particles cm-3,44901,V particles cm-3,14429,V particles cm-3
