"date","area","site","ufp"
2001-04-22,"london","nkens",24951.0010416667
2001-04-23,"london","nkens",22051.11878125
2001-04-24,"london","nkens",25453.3810416667
2001-04-25,"london","nkens",25997.946875
2001-04-26,"london","nkens",23657.8671875
2001-04-27,"london","nkens",19981.9180625
2001-04-28,"london","nkens",NA
2001-04-29,"london","nkens",NA
2001-04-30,"london","nkens",NA
2001-05-01,"london","nkens",NA
2001-05-02,"london","nkens",NA
2001-05-03,"london","nkens",NA
2001-05-04,"london","nkens",NA
2001-05-05,"london","nkens",NA
2001-05-06,"london","nkens",NA
2001-05-07,"london","nkens",NA
2001-05-08,"london","nkens",NA
2001-05-09,"london","nkens",NA
2001-05-10,"london","nkens",NA
2001-05-11,"london","nkens",28967.5569791667
2001-05-12,"london","nkens",24536.7182291667
2001-05-13,"london","nkens",19697.975
2001-05-14,"london","nkens",15935.1968645833
2001-05-15,"london","nkens",21010.8000729167
2001-05-16,"london","nkens",17888.0419166667
2001-05-17,"london","nkens",23878.4149473684
2001-05-18,"london","nkens",20885.42703125
2001-05-19,"london","nkens",21616.266875
2001-05-20,"london","nkens",21014.5992395833
2001-05-21,"london","nkens",25270.7319791667
2001-05-22,"london","nkens",28387.690875
2001-05-23,"london","nkens",25144.76125
2001-05-24,"london","nkens",23718.0027083333
2001-05-25,"london","nkens",25615.2246
2001-05-26,"london","nkens",19272.4972708333
2001-05-27,"london","nkens",12125.30925
2001-05-28,"london","nkens",11236.1880520833
2001-05-29,"london","nkens",25299.0148958333
2001-05-30,"london","nkens",17732.3907291667
2001-05-31,"london","nkens",NA
2001-06-01,"london","nkens",NA
2001-06-02,"london","nkens",NA
2001-06-03,"london","nkens",NA
2001-06-04,"london","nkens",NA
2001-06-05,"london","nkens",NA
2001-06-06,"london","nkens",NA
2001-06-07,"london","nkens",NA
2001-06-08,"london","nkens",20378.3606458333
2001-06-09,"london","nkens",23766.800625
2001-06-10,"london","nkens",15938.1026354167
2001-06-11,"london","nkens",20993.8854270833
2001-06-12,"london","nkens",16174.6495208333
2001-06-13,"london","nkens",22499.0652916667
2001-06-14,"london","nkens",19198.1596770833
2001-06-15,"london","nkens",14017.0229791667
2001-06-16,"london","nkens",12967.33203125
2001-06-17,"london","nkens",7998.79819791667
2001-06-18,"london","nkens",18678.8591770833
2001-06-19,"london","nkens",17572.0413829787
2001-06-20,"london","nkens",18993.6382083333
2001-06-21,"london","nkens",13955.1594479167
2001-06-22,"london","nkens",22985.5400520833
2001-06-23,"london","nkens",28658.424375
2001-06-24,"london","nkens",20156.9269166667
2001-06-25,"london","nkens",28413.8142708333
2001-06-26,"london","nkens",26400.9184583333
2001-06-27,"london","nkens",12149.4529895833
2001-06-28,"london","nkens",14352.6738020833
2001-06-29,"london","nkens",10737.8488125
2001-06-30,"london","nkens",13705.5466875
2001-07-01,"london","nkens",15337.4752291667
2001-07-02,"london","nkens",15143.20928125
2001-07-03,"london","nkens",22694.7126458333
2001-07-04,"london","nkens",24211.4704166667
2001-07-05,"london","nkens",19823.5233368421
2001-07-06,"london","nkens",14211.7537604167
2001-07-07,"london","nkens",10904.2945104167
2001-07-08,"london","nkens",7534.68161458333
2001-07-09,"london","nkens",10001.0581875
2001-07-10,"london","nkens",10755.2712916667
2001-07-11,"london","nkens",12371.40171875
2001-07-12,"london","nkens",13096.8082395833
2001-07-13,"london","nkens",13076.7911666667
2001-07-14,"london","nkens",11060.1323125
2001-07-15,"london","nkens",11101.276125
2001-07-16,"london","nkens",NA
2001-07-17,"london","nkens",17372.0963854167
2001-07-18,"london","nkens",12781.2467395833
2001-07-19,"london","nkens",9533.48194791667
2001-07-20,"london","nkens",11428.9691979167
2001-07-21,"london","nkens",12098.0101458333
2001-07-22,"london","nkens",11102.8794895833
2001-07-23,"london","nkens",14985.07590625
2001-07-24,"london","nkens",13520.8754375
2001-07-25,"london","nkens",17129.7167708333
2001-07-26,"london","nkens",14485.5564468085
2001-07-27,"london","nkens",16968.3826354167
2001-07-28,"london","nkens",13314.6885520833
2001-07-29,"london","nkens",12375.403375
2001-07-30,"london","nkens",12158.8446770833
2001-07-31,"london","nkens",10185.84521875
2001-08-01,"london","nkens",17306.4139052632
2001-08-02,"london","nkens",17383.2770416667
2001-08-03,"london","nkens",13750.10684375
2001-08-04,"london","nkens",14752.3454583333
2001-08-05,"london","nkens",11710.2213333333
2001-08-06,"london","nkens",11053.0984166667
2001-08-07,"london","nkens",12347.0052395833
2001-08-08,"london","nkens",11882.4368125
2001-08-09,"london","nkens",14193.8690729167
2001-08-10,"london","nkens",11536.5187291667
2001-08-11,"london","nkens",12009.8580833333
2001-08-12,"london","nkens",9824.26658333333
2001-08-13,"london","nkens",13479.6248020833
2001-08-14,"london","nkens",11915.7037604167
2001-08-15,"london","nkens",15091.6226631579
2001-08-16,"london","nkens",13312.6619479167
2001-08-17,"london","nkens",11997.5396458333
2001-08-18,"london","nkens",15075.7440208333
2001-08-19,"london","nkens",10582.61103125
2001-08-20,"london","nkens",12226.9739583333
2001-08-21,"london","nkens",10866.28059375
2001-08-22,"london","nkens",10684.3426458333
2001-08-23,"london","nkens",12695.4411666667
2001-08-24,"london","nkens",NA
2001-08-25,"london","nkens",NA
2001-08-26,"london","nkens",NA
2001-08-27,"london","nkens",NA
2001-08-28,"london","nkens",NA
2001-08-29,"london","nkens",NA
2001-08-30,"london","nkens",NA
2001-08-31,"london","nkens",NA
2001-09-01,"london","nkens",NA
2001-09-02,"london","nkens",NA
2001-09-03,"london","nkens",NA
2001-09-04,"london","nkens",NA
2001-09-05,"london","nkens",NA
2001-09-06,"london","nkens",NA
2001-09-07,"london","nkens",NA
2001-09-08,"london","nkens",NA
2001-09-09,"london","nkens",NA
2001-09-10,"london","nkens",NA
2001-09-11,"london","nkens",NA
2001-09-12,"london","nkens",NA
2001-09-13,"london","nkens",NA
2001-09-14,"london","nkens",NA
2001-09-15,"london","nkens",NA
2001-09-16,"london","nkens",NA
2001-09-17,"london","nkens",NA
2001-09-18,"london","nkens",NA
2001-09-19,"london","nkens",7631.75835416667
2001-09-20,"london","nkens",10569.8855833333
2001-09-21,"london","nkens",13888.6561666667
2001-09-22,"london","nkens",14295.6843854167
2001-09-23,"london","nkens",9001.94184375
2001-09-24,"london","nkens",14821.5209375
2001-09-25,"london","nkens",15441.413
2001-09-26,"london","nkens",19164.218125
2001-09-27,"london","nkens",12815.4804479167
2001-09-28,"london","nkens",17233.8720729167
2001-09-29,"london","nkens",15503.2691979167
2001-09-30,"london","nkens",8274.9478125
2001-10-01,"london","nkens",10824.3457916667
2001-10-02,"london","nkens",13779.6795
2001-10-03,"london","nkens",13888.2271041667
2001-10-04,"london","nkens",12306.59221875
2001-10-05,"london","nkens",13438.3293541667
2001-10-06,"london","nkens",10340.7777083333
2001-10-07,"london","nkens",7221.81636458333
2001-10-08,"london","nkens",10264.17253125
